DISTNAME,DISTRICT,DZCNTYNM,REGION,DZCAMPUS,DPETALLC,DPETBLAP,DPETHISP,DPETWHIP,DPETINDP,DPETASIP,DPETPCIP,DPETTWOP,DPETECOP,DPETLEPP,DPETSPEP,DPETBILP,DPETVOCP,DPETGIFP,DA0AT22R,DA0912DR22R,DAGC4X22R,DAGC5X21R,DAGC6X20R,DA0GR22N,DA0GS22N,DDA00A001S23R,DDA00A001223R,DDA00A001323R,DDA00AR01S23R,DDA00AR01223R,DDA00AR01323R,DDA00AM01S23R,DDA00AM01223R,DDA00AM01323R,DDA00AC01S23R,DDA00AC01223R,DDA00AC01323R,DDA00AS01S23R,DDA00AS01223R,DDA00AS01323R,DDB00A001S23R,DDB00A001223R,DDB00A001323R,DDH00A001S23R,DDH00A001223R,DDH00A001323R,DDW00A001S23R,DDW00A001223R,DDW00A001323R,DDI00A001S23R,DDI00A001223R,DDI00A001323R,DD300A001S23R,DD300A001223R,DD300A001323R,DD400A001S23R,DD400A001223R,DD400A001323R,DD200A001S23R,DD200A001223R,DD200A001323R,DDE00A001S23R,DDE00A001223R,DDE00A001323R,DA0CT22R,DA0CC22R,dA0csa22r,dA0caa22r,DPSATOFC,DPSTTOFC,DPSCTOFP,DPSSTOFP,DPSUTOFP,DPSTTOFP,DPSETOFP,DPSXTOFP,DPSCTOSA,DPSSTOSA,DPSUTOSA,DPSTTOSA,DPSAMIFP,DPSAKIDR,DPSTKIDR,DPST05FP,DPSTEXPA,DPSTADFP,DPSTURNR,DPSTBLFP,DPSTHIFP,DPSTWHFP,DPSTINFP,DPSTASFP,DPSTPIFP,DPSTTWFP,DPSTREFP,DPSTSPFP,DPSTCOFP,DPSTBIFP,DPSTVOFP,DPSTGOFP,DPFVTOTK,DPFTADPR,DPFRAALLT,DPFRAALLK,DPFRAOPRT,DPFRASTAP,DZRVLOCP,DPFRAFEDP,DPFRAORVT,DPFUNAB1T,DPFUNA4T,DPFEAALLT,DPFEAOPFT,DPFEAOPFK,DPFEAINSP,DZEXADMP,DZEXADSP,DZEXPLAP,DZEXOTHP,DPFEAINST,DPFEAINSK,DPFPAREGP,DPFPASPEP,DPFPACOMP,DPFPABILP,DPFPAVOCP,DPFPAGIFP,DPFPAATHP,DPFPAHSAP,DPFPREKP,DPFPAOTHP,DISTSIZE,COMMTYPE,PROPWLTH,TAXRATE
AQUILLA ISD,109912,109 HILL,12,2,323,0.3,11.1,86.1,0,0,0,2.5,50.5,5.3,16.4,5.3,31,9.6,93.7,0,100,100,100,26,22,83,56,21,85,59,21,79,54,21,85,52,26,85,56,21,-1,-1,-1,72,32,8,86,61,24,,,,,,,,,,41,18,6,76,46,14,76.9,5,896,-1,51.5,28.3,1.9,5.8,1.4,54.9,12.6,23.3,116942,73647,37092,47110,9.7,6.3,11.4,53,8.1,11.6,19.1,1.8,3.5,94.7,0,0,0,0,81.5,12.1,0,0.4,5.9,0,337636,1.241,5787899,17277,5393311,65,24,11,394588,1996846,0,5148448,4417596,13187,54.1,12.8,3.8,12.3,17,2389244,7132,42,4.7,5.5,0.2,3.5,0.3,6.3,0,0.7,34.7,Under 500,Rural,"$316,888 to < $355,840",$1.1800 to under $1.3001
BLUM ISD,109913,109 HILL,12,1,338,2.1,11.2,83.4,0.3,0,0,3,53.6,2.1,15.7,2.1,39.1,3.8,95,0.9,100,100,100,23,17,81,49,11,83,53,8,82,49,12,76,33,5,79,51,31,82,73,18,82,54,12,81,47,11,,,,,,,,,,92,54,8,80,47,11,65.2,20,942,,64.6,30.4,1.5,3.6,4.7,47.1,22.9,20.1,142400,73895,65472,49008,3,5.2,11.1,44.4,9.9,8,44.7,0,3.2,93.7,3.2,0,0,0,72.2,11.3,3.6,0,11.6,1.3,621950,1.309,6827030,19846,6137699,46.6,39.5,13.9,689331,3789159,0,5675266,4831738,14046,53,10,5.7,10.9,20.3,2559671,7441,32.4,11.7,12.9,0,4.8,0.1,3,0,0.9,31,Under 500,Rural,"$604,829 to < $640,713",$1.3001 and over
PENELOPE ISD,109914,109 HILL,12,1,202,2,32.7,63.9,0,0,0,1.5,56.9,8.4,18.8,8.4,35.6,2,96.5,0,100,100,100,15,14,85,54,15,82,61,10,81,43,16,89,51,16,100,66,31,75,42,0,83,56,13,86,53,16,,,,,,,,,,100,80,60,84,53,15,33.3,20,880,-1,39.3,21,2.5,2.5,1.3,53.5,12.2,28,105000,75480,40000,50490,16.4,5.1,9.6,23.8,13,14.3,10,0,14.3,85.7,0,0,0,0,71.3,11.5,4.8,0,12.5,0,210149,0.96,3389516,17119,3389516,70.8,16.7,12.5,0,383498,0,3015106,2903700,14665,52.2,14.5,6.4,11.2,15.8,1516452,7659,33.1,7.5,8,0.2,6.2,0.1,4.4,0,1.6,36.8,Under 500,Rural,"$191,241 to < $251,917",Under $1.0600
ANTON ISD,110901,110 HOCKLEY,17,1,170,5.3,70,21.2,0.6,0,0,2.9,80.6,3.5,12.9,2.9,44.7,1.2,92.9,0,100,100,100,17,17,66,27,5,70,34,5,61,21,3,73,27,6,55,15,10,83,50,17,64,20,3,69,39,11,,,,,,,,,,73,55,0,62,25,4,29.4,20,,20.6,35.2,19.5,2.8,3.2,1.8,55.4,17,19.7,99500,78737,63312,44335,34.1,4.8,8.7,45.4,8.4,28.2,27.1,0,10.6,89.4,0,0,0,0,78.8,4.7,4.5,0,12,0,376904,1.006,3689190,20270,3562089,49.9,21.1,29.1,127101,3013724,0,2915952,2650336,14562,47.8,14.6,7.8,13.5,16.3,1267747,6966,23.9,5.3,18.2,0.4,5.9,0,4.9,0,1.4,38.3,Under 500,Rural,"$355,840 to < $399,525",Under $1.0600
LEVELLAND ISD,110902,110 HOCKLEY,17,6,2682,2.8,74.2,21.4,0.2,0.2,0,1.1,76.4,10.1,19.5,8.8,23.1,5.5,93.8,0.4,97.1,97.7,96.6,169,159,75,43,12,76,48,11,72,37,11,75,41,9,82,44,17,63,31,3,73,39,9,86,59,21,80,20,0,100,80,40,,,,72,40,12,72,39,9,69.8,16.9,1069,18,450.1,215.9,1.3,4.3,4,48,19,23.5,124657,75133,61792,50284,46.9,6,12.4,40.1,11,17.6,22.8,2.3,22.6,73.4,0.5,0,0,1.3,68.2,15.8,4.5,3.7,5.6,2.2,422497,1.276,44028800,16034,39266028,39.8,32.3,27.9,4762772,10669749,0,41017835,36251739,13202,59.1,7.1,4.7,11.8,17.2,21438163,7807,36.1,15.6,11.8,0.8,3.8,0.2,2.7,0,0,25.5,"1,600 to 2,999",Non-metropolitan Stable,"$399,525 to < $437,254",$1.1800 to under $1.3001
ROPES ISD,110905,110 HOCKLEY,17,1,546,0.5,26.9,71.8,0.2,0.2,0,0.4,34.6,1.8,7,1.8,33.7,8.2,95.8,0,96.8,100,100,30,30,85,56,19,88,65,25,85,53,16,79,44,10,83,49,19,75,38,0,75,43,7,89,63,25,-1,-1,-1,-1,-1,-1,,,,,,,73,36,6,63.3,26.3,1016,19.7,86.6,51.5,1.2,2.8,5.4,59.6,8.5,22.5,145000,91180,56928,51247,25.2,6.3,10.6,24.7,16,14.7,12.5,0,13.3,83,0,0,0,3.8,67.7,1.7,6.8,1.9,15.6,6.4,236532,1.38,8463030,16465,7526657,64,23.4,12.7,936373,1168897,0,11385885,6634751,12908,54,10.4,5.9,11.4,18.4,3581213,6967,43.7,2.4,8,0,6.5,0.2,5.4,0,0,30.6,500 to 999,Non-metropolitan Fast Growing,"$191,241 to < $251,917",$1.3001 and over
SMYER ISD,110906,110 HOCKLEY,17,1,442,0.5,45,52.9,0,0,0,1.6,55.2,3.2,12.7,3.2,34.2,7.5,94.1,0,91.3,94.9,96.9,21,21,85,52,16,87,59,18,80,47,13,86,42,9,86,50,26,,,,84,46,10,85,56,20,,,,,,,,,,100,67,33,81,39,5,95.2,15,942,-1,62.8,41.1,1.6,3.2,4.7,65.5,5.9,19.1,138530,85003,61299,51196,20.5,7,10.7,16.7,15.4,33.3,8.1,0,11.9,83.4,0,0,0,4.7,73.7,7.1,7.1,0,11,1,236790,1.043,6524103,15683,6524103,66.6,16.9,16.5,0,5027381,0,6024143,5779073,13892,52.5,10,5.3,15.6,16.6,3035386,7297,38.7,5.6,7.1,0.1,6,0.2,4.5,0,1.2,34.7,Under 500,Rural,"$191,241 to < $251,917",Under $1.0600
SUNDOWN ISD,110907,110 HOCKLEY,17,4,579,0.3,58.2,39,0,0.7,0,1.7,50.3,3.8,10.2,3.8,26.6,11.2,96.1,0,97.9,100,100,47,45,92,69,29,90,69,29,95,75,32,90,58,16,84,66,34,-1,-1,-1,89,61,21,94,79,38,,,,-1,-1,-1,,,,100,81,44,87,57,14,91.5,37.2,1036,-1,99.2,57.3,1.9,3.5,4.8,57.7,10.8,21.2,123058,102154,63758,56374,35.3,5.8,10.1,20.9,15.2,18.5,23.3,0,24.4,75.6,0,0,0,0,77.4,3,7.7,0,6.8,5,1294547,1.038,10174564,17664,9619944,22.2,68,9.8,554620,5355446,0,12172940,9843660,17090,57,6,5.7,14.3,17,5609349,9738,45.9,6,4.9,0.1,3.7,0.8,5,0,0.9,30,500 to 999,Rural,"$1,147,749 and over",Under $1.0600
WHITHARRAL ISD,110908,110 HOCKLEY,17,1,234,0.9,35.9,60.3,0.4,0,0,2.6,46.2,0.9,8.5,0.9,40.2,4.7,95.7,0,100,100,100,14,14,90,63,22,91,68,22,88,58,22,94,77,29,86,43,14,-1,-1,-1,86,54,18,93,71,27,,,,,,,,,,83,33,0,85,55,18,21.4,-1,-1,-1,34.8,20.2,2.9,2.9,2.2,58.2,9.5,24.4,99000,85000,59342,53316,42.4,6.7,11.6,9.7,14.2,9.7,18.8,0,14.7,80.6,4.8,0,0,0,75.8,4.8,8.5,0,10.4,0.5,202408,1.31,3960950,16784,3666518,69.2,20.5,10.3,294432,1042698,0,3657033,2888089,12238,51,9,5,16.2,18.7,1473784,6245,41.5,3.1,6.9,0,4.7,0,5.4,0,0.9,36.5,Under 500,Rural,"$191,241 to < $251,917",$1.3001 and over
LAKE GRANBURY ACADEMY CHARTER SCHOOL,111801,111 HOOD,11,1,41,17.1,53.7,29.3,0,0,0,0,80.5,12.2,24.4,7.3,26.8,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.3,3.2,0.8,0.8,0,60.8,18.8,18.8,90000,90000,,70393,56.3,7.7,12.7,10.1,14.7,28.1,78.3,28.1,61.8,10.1,0,0,0,0,69.1,0,0,0,30.9,0,0,0,1113488,21833,1113488,61.1,0,38.9,0,0,235268,978908,978908,19194,42.3,9.8,12.9,19.3,15.7,414244,8122,0,0,77.6,0,0,0,0,0,0,22.4,Under 500,Charters,Non-taxing entities,Non-taxing entities
GRANBURY ISD,111901,111 HOOD,11,10,7942,1.3,27.4,66.6,0.3,0.9,0.4,3.1,54.8,10.6,14.7,10.4,28,8.4,92.1,0.8,95,95.8,96.5,426,327,82,57,24,82,59,23,81,51,21,86,58,24,85,60,32,82,50,11,77,46,15,85,61,27,69,48,17,80,65,41,81,46,10,83,62,25,75,46,16,41.8,56.2,1108,22.5,1119.3,557.7,0.9,2.4,8.2,49.8,12.4,26.3,128325,84008,72536,58141,14.7,7.1,14.2,32.8,11,24.4,19.5,0.9,10.9,86.9,0.4,0.2,0,0.7,74.6,10.4,2.9,0.8,6.4,5,917220,1.089,91585316,11876,81047160,6.5,77.3,16.1,10538156,20316632,0,91212852,79663516,10330,59,7,4.8,9,20.2,47023870,6097,43.5,14.4,6.9,1.5,3.9,0.2,2.2,0,0.1,23.2,"5,000 to 9,999",Other Central City Suburban,"$836,417 to < $989,691",$1.0600 to under $1.1800
LIPAN ISD,111902,111 HOOD,11,2,466,0.4,13.9,83.7,0,0,0.2,1.7,54.7,4.3,10.1,4.3,29.8,3.4,95.4,0,100,96.8,100,27,27,86,59,22,89,66,20,82,53,21,89,56,17,86,59,37,,,,80,37,5,88,62,24,,,,,,,-1,-1,-1,62,46,15,83,53,15,11.1,-1,-1,-1,66.5,41.2,2.3,4.5,12.4,62,10.1,8.8,160204,87546,65441,53664,4.4,7,11.3,38.8,11.8,23.6,18,0,2.4,95.1,2.4,0,0,0,76.2,10.1,0,0,11.8,1.9,538282,1.295,7301700,16335,6451066,49.4,37.2,13.5,850634,2864692,0,13809948,5629063,12593,56.5,11.8,6.2,12.8,12.6,3182709,7120,42.9,6,4.5,1.4,6.7,0.2,2.7,0,1.4,31.9,Under 500,Rural,"$523,458 to < $547,824",$1.1800 to under $1.3001
TOLAR ISD,111903,111 HOOD,11,3,873,0.8,6.8,89.8,0.5,0.1,0.3,1.7,35.9,0.6,11.1,0.7,33.2,3.4,93.9,0,100,97.8,100,54,53,85,55,19,85,57,16,81,45,14,91,67,31,89,64,31,73,47,20,78,40,14,86,56,20,38,13,0,,,,100,60,20,78,41,7,79,46,13,79.6,25.6,978,18.4,116.7,68,1.7,2.6,5.3,58.3,8.7,23.3,113908,76445,56451,51823,4.3,7.5,12.8,32.3,12.2,24.2,33.3,0,4.3,95.7,0,0,0,0,76.3,8.3,0,0,12,3.3,339472,1.245,12790284,15101,11760877,51.8,34.5,13.7,1029407,3436127,0,11932664,8854928,10454,57.5,8,5.8,10.6,18.1,5094277,6014,46.3,7,4.6,0,7,0,4.1,0,1.5,28,500 to 999,Rural,"$316,888 to < $355,840",$1.1800 to under $1.3001
SULPHUR SPRINGS ISD,112901,112 HOPKINS,08,9,4355,10,30.4,53.5,0.3,1,0.1,4.6,65.2,15.7,14.9,18.1,28.5,5.3,92.8,2.5,88,92,93.3,270,241,78,52,21,76,52,18,78,49,23,85,60,22,82,52,25,66,33,8,73,45,15,83,60,26,73,64,27,100,89,59,100,78,0,79,51,18,73,43,14,55.2,32.2,1011,20.5,721.8,360,1.1,2.5,8.6,49.9,19.6,18.3,105135,78052,62278,52195,21.1,6,12.1,30.9,11.7,18,23,4.4,10,84.7,0,0.3,0,0.6,69.1,5.5,9.7,3.3,7.6,4.8,414418,1.182,58170341,13437,52548983,44.8,30.9,24.3,5621358,11631438,0,56983917,51602279,11920,59.5,7.8,3.3,10.1,19.4,30687683,7089,39.7,11.9,10.3,0.8,4,0.2,2.9,0,0.9,22.7,"3,000 to 4,999",Independent Town,"$399,525 to < $437,254",$1.1800 to under $1.3001
CUMBY COLLEGIATE ISD,112905,112 HOPKINS,08,2,430,0.5,11.2,82.8,2.1,0.2,0,3.3,56.3,4.7,17,4.2,30,6,93,0,91.7,100,100,34,31,73,37,10,77,45,12,72,34,9,72,27,7,64,34,7,-1,-1,-1,81,36,8,73,38,10,44,25,6,-1,-1,-1,,,,65,29,6,66,31,7,100,11.4,913,16.8,78,40.2,3.8,3.4,3.3,51.6,16.1,21.7,84167,84521,67576,55100,6.4,5.5,10.7,29.8,14,30.6,41.2,5,1.1,94,0,0,0,0,81.5,2.7,2.7,0,11.2,1.8,224900,1.42,7834057,18009,7022824,68,16.6,15.4,811233,1903550,0,9226525,6152401,14143,55.2,9.9,6.1,11.6,17.2,3397981,7811,39.1,8,8.5,0.1,5.7,0.1,5.6,0,0.5,30.6,Under 500,Rural,"$191,241 to < $251,917",$1.3001 and over
NORTH HOPKINS ISD,112906,112 HOPKINS,08,2,516,0.2,25.8,70.2,0.6,0,0.2,3.1,61.2,14.1,12.6,13.4,27.3,7.9,93.8,0,96.7,100,100,30,28,81,56,21,81,58,19,81,57,23,78,40,13,84,67,29,,,,80,51,15,81,59,23,-1,-1,-1,,,,-1,-1,-1,82,45,11,78,51,15,100,6.5,-1,17,95,49.9,3.1,5.3,4.5,52.6,20.4,14.2,78663,52501,57391,50234,8.8,5.4,10.3,25.8,13.9,17.2,6.4,0,3.9,96.1,0,0,0,0,62.9,4,13.8,0,14.1,5.1,207581,1.174,8799930,16448,8449969,65.1,20.2,14.7,349961,5245985,0,7989786,7034465,13149,55.2,8.8,5.7,11.3,19,3885938,7263,36.5,6.2,11.9,0.6,8.2,0.5,2.4,0,1,30.2,500 to 999,Rural,"$191,241 to < $251,917",$1.0600 to under $1.1800
MILLER GROVE ISD,112907,112 HOPKINS,08,1,317,0,14.5,82,0.3,0.3,0.3,2.5,47.9,4.4,12.9,4.4,23.7,0.9,94.6,0,100,100,100,19,17,82,47,13,86,62,21,77,32,7,83,41,5,74,41,15,,,,75,31,2,83,49,14,-1,-1,-1,-1,-1,-1,-1,-1,-1,67,22,11,73,32,7,63.2,33.3,,19.7,51.5,30,1.9,7.8,5.8,58.1,9.4,16.9,101000,70425,57892,52628,3.8,6.1,10.6,19.7,15.1,19.6,29.1,0,6.5,93.5,0,0,0,0,68.4,6.5,9.7,0.3,9.3,5.7,268223,1.335,5063324,16934,4681155,64.2,22.3,13.5,382169,1017433,0,5214634,4771018,15957,53.9,9.6,6.3,17.1,13.2,2569427,8593,45.6,4.8,4.1,0.3,4.7,0.3,2.8,0,3.3,33,Under 500,Rural,"$251,917 to < $316,888",$1.3001 and over
COMO-PICKTON CISD,112908,112 HOPKINS,08,1,730,1.4,42.1,53.4,0.3,0.7,0,2.2,64.5,24.4,17.5,24,30.5,4.7,94.2,0,98.1,100,98,53,49,78,45,13,81,52,14,77,40,12,79,40,12,68,34,16,33,11,0,72,36,7,83,52,17,,,,100,57,57,,,,82,35,6,73,38,9,49.1,7.7,,16.7,129.9,63.4,1.5,3.1,8.5,48.8,15.7,22.4,112380,74671,61623,56608,12.7,5.6,11.5,29,13.5,25.2,21.2,1.6,7.9,90.5,0,0,0,0,79,7.8,1.6,0,8.2,3.4,244631,0.891,11443345,15806,11443345,61,18.8,20.2,0,2275989,0,11915687,10007159,13822,58.2,6.8,4.4,12.9,17.7,5826779,8048,41.9,8.2,6.6,1.1,6.5,0.2,3.9,0,0,29,500 to 999,Rural,"$191,241 to < $251,917",Under $1.0600
SALTILLO ISD,112909,112 HOPKINS,08,1,248,2.8,27.4,66.9,0,0,0,2.8,58.1,11.3,14.5,11.3,29,2.8,96.3,0,100,100,100,14,14,90,61,22,91,69,23,94,58,22,89,54,23,66,41,7,71,43,29,89,56,15,91,63,24,,,,,,,,,,-1,-1,-1,88,57,16,57.1,0,,17,49.1,24.6,1,5.1,7.1,50,19.4,17.3,110000,85269,60453,56125,6.1,5,10.1,12.2,16.9,11.2,19.9,0,4.1,95.9,0,0,0,0,74.1,8.2,6.1,0,11.7,0,325700,0.879,5555067,22767,5555067,54.2,24.8,21,0,2217206,0,4993394,4669200,19136,53.8,10.1,4.1,12.4,19.7,2511976,10295,37.6,22.7,4.5,1.7,4.7,0.2,3,0,0,24.6,Under 500,Rural,"$316,888 to < $355,840",Under $1.0600
SULPHUR BLUFF ISD,112910,112 HOPKINS,08,1,225,1.3,18.2,77.8,0,0.4,0,2.2,55.6,5.3,12,4.4,51.1,5.3,93.4,0,100,100,94.4,19,19,82,51,19,85,59,24,78,38,10,81,50,19,80,61,27,71,43,0,77,51,7,84,52,23,,,,-1,-1,-1,,,,60,40,0,78,49,16,68.4,30.8,974,18.4,41.4,20.9,2.4,7.2,2.4,50.5,16.1,21.4,112500,60941,42605,50413,9.2,5.4,10.8,40.6,10.7,18.2,28.8,0,18.2,81.8,0,0,0,0,73.1,1.1,9.1,0,13.8,2.9,582478,1.074,3698448,18309,3605993,48,36.4,15.7,92455,728499,0,3688526,3333953,16505,48.2,12,7.3,15.8,16.7,1607547,7958,37.7,5.5,7.7,0.4,7.7,0.4,4.1,0,0,35.2,Under 500,Rural,"$574,353 to < $604,829",$1.0600 to under $1.1800
CROCKETT ISD,113901,113 HOUSTON,06,4,1203,45,33.2,17.2,0.2,0.5,0.1,3.8,89.2,19,13.8,18.4,29.8,4,91.2,1,98.8,96.4,98.8,84,65,59,28,9,60,31,8,48,15,5,66,37,11,73,40,17,52,22,6,64,30,10,69,37,14,,,,85,62,38,-1,-1,-1,43,26,7,57,26,8,64.3,22.2,941,,204.1,90,2,4.1,3.5,44.1,25.3,21.1,113817,57615,65941,57363,39.3,5.9,13.4,26.7,16.1,34.2,29.8,24,5.6,65,2.1,1.1,0,2.2,69,12.7,6.6,1.8,8.2,1.7,433059,1.178,26655314,22399,21950219,39.7,24.8,35.5,4705095,11593228,0,21918089,18109536,15218,48.8,9.1,6.5,12,23.7,8828167,7419,26.4,12.2,13.2,0.6,4.5,0.1,5.3,0,0.3,33.8,"1,000 to 1,599",Non-metropolitan Stable,"$399,525 to < $437,254",$1.0600 to under $1.1800
GRAPELAND ISD,113902,113 HOUSTON,06,3,610,21.1,9.5,64.1,0.2,1.1,0,3.9,63,0.5,14.3,0.5,31,4.8,91.4,2.1,91.4,100,97.8,49,43,74,40,10,76,45,11,72,31,8,78,43,10,69,41,11,57,22,6,73,37,7,82,49,12,-1,-1,-1,88,50,38,,,,62,18,4,69,34,8,28.6,28.6,948,-1,111.4,50.3,2.7,4,2.7,45.2,17.5,27.9,85579,74964,62085,51806,17.4,5.5,12.1,61.3,6.6,8.9,34,3.9,3.9,92.2,0,0,0,0,87.4,0,1.9,0,10,0.6,665715,1.06,9841766,15597,8577519,39.9,45.3,14.7,1264247,6660247,0,8682700,7219660,11442,52.9,7,7.1,12.6,20.4,3821787,6057,28.7,8.5,10.7,0,7,0.2,3.8,0.2,2.1,37.5,500 to 999,Non-metropolitan Fast Growing,"$640,713 to < $711,268",Under $1.0600
LOVELADY ISD,113903,113 HOUSTON,06,2,536,11.4,11.9,73.5,0.2,0.2,0,2.8,49.1,1.3,13.4,1.3,37.7,6,96.2,0,100,100,100,34,32,88,55,21,88,62,28,86,44,11,95,62,18,92,57,28,81,36,13,85,47,22,89,59,21,-1,-1,-1,-1,-1,-1,,,,100,68,26,83,45,15,97.1,18.2,998,17.3,85.9,45.5,1.8,5.1,4.8,53,12.1,23.2,103714,80338,59711,51353,10.9,6.2,11.8,26.4,14,24.2,22.1,2.2,4.4,93.4,0,0,0,0,73.2,5.1,4.7,0,14,2.9,554283,1.125,8421156,16709,7842509,47.1,35,17.9,578647,2693076,0,11146365,6796707,13486,53.5,9.1,6.6,13.8,16.9,3638543,7219,35.8,5.8,9,0,10.3,0.1,3.8,0,0,33.1,500 to 999,Rural,"$547,824 to < $574,353",$1.0600 to under $1.1800
LATEXO ISD,113905,113 HOUSTON,06,2,496,1.2,20.6,74,0.4,1.6,0,2.2,56.5,5.8,13.1,5.6,35.1,6,93.8,0.7,92.9,100,96.2,27,21,82,50,15,89,60,18,76,39,11,81,48,13,74,45,19,80,67,13,81,38,9,82,52,16,,,,100,88,63,,,,63,19,6,78,42,9,100,17.9,1029,17.4,88.5,43.7,1.1,3.1,8.6,49.4,13.3,24.5,121000,49310,54024,53145,9.9,5.6,11.4,16,14.4,15.1,30.2,0,2.3,95.4,0,0,0,2.3,74.5,7.1,0,0,18.2,0.1,414047,1.122,7838584,16063,7503517,48.6,30.3,21.2,335067,2071115,0,10585598,6698758,13727,59.1,9.2,5.1,9.3,17.3,3955567,8106,43.8,5,8.4,0.1,6.8,0.2,4.5,0,0,29.2,Under 500,Rural,"$399,525 to < $437,254",$1.0600 to under $1.1800
KENNARD ISD,113906,113 HOUSTON,06,1,258,12,5.8,77.9,0,0,0,4.3,66.7,0.4,17.4,0.4,33.3,7,94.5,0,100,100,100,22,20,85,53,19,88,52,13,83,57,23,80,44,15,83,63,29,71,46,12,88,40,0,87,56,21,,,,,,,,,,86,50,36,81,48,9,77.3,17.6,965,,47.7,21.9,2.1,4.3,3,45.8,17.9,26.9,113568,77656,60322,48886,12.3,5.4,11.8,35.6,13.4,24.7,35.1,8.9,0,91.1,0,0,0,0,82.8,2.6,1.3,0,10.2,3.2,591903,0.872,4589342,18656,4569682,44.7,29.7,25.7,19660,3287985,0,3899872,3549996,14431,45.9,12.8,8.9,11.4,21,1628800,6621,34.3,8.1,10.3,0,5.9,0.1,2.6,0,2.1,35,Under 500,Rural,"$574,353 to < $604,829",Under $1.0600
BIG SPRING ISD,114901,114 HOWARD,18,8,3508,4.8,68,22.8,0.1,1,0.2,3,72.9,6.6,18.4,6.4,39.3,4.7,92.8,4.1,84.6,85.8,83.6,258,185,73,41,11,71,41,10,74,40,12,74,42,11,72,38,16,65,35,8,70,38,10,81,49,16,90,70,20,97,59,21,70,30,0,72,53,18,70,37,10,28.7,12.2,1123,16.4,572.2,266.9,1.4,3.5,8.4,46.6,17.2,22.9,108990,83426,62525,49900,44.1,6.1,13.1,56.1,8.2,16.7,23.5,4.9,24.3,67,1,0.7,0,2.1,68.9,15.2,4.3,2.4,7.5,1.8,814558,1.016,49744332,13707,45864762,15.7,63,21.3,3879570,24321322,0,48388851,42646024,11751,51.9,6.8,6.5,14.9,19.9,22147043,6103,36,13.5,11,0.3,3.8,0.2,2.8,0,1,28.1,"3,000 to 4,999",Independent Town,"$753,747 to < $836,417",Under $1.0600
COAHOMA ISD,114902,114 HOWARD,18,3,1092,0.5,43.8,53.5,0.3,0.4,0,1.6,39.5,3.5,12.1,3.3,31.1,4.2,94.1,0,100,100,100,53,49,75,42,12,76,48,14,75,38,12,73,39,9,69,39,12,43,14,0,70,35,9,79,48,15,100,17,0,-1,-1,-1,,,,95,74,32,64,29,8,30.2,6.3,-1,18.6,139.9,74.5,2.1,5,3.6,53.3,14.1,21.9,112694,81243,67142,55057,26.9,7.8,14.7,40.3,10.8,9.4,14.5,2.7,21.5,75.8,0,0,0,0,78.5,10.7,4,0,6.7,0,659593,1.172,18061924,16662,15983046,27.9,54.1,18,2078878,7783478,0,16264173,13961395,12880,57.3,7.7,4.9,10,20.1,7997514,7378,31.6,24.8,5.6,0.1,4.8,0.6,3.4,0,1.3,25.6,"1,000 to 1,599",Non-metropolitan Stable,"$640,713 to < $711,268",$1.0600 to under $1.1800
FORSAN ISD,114904,114 HOWARD,18,2,752,0.7,35.9,58.4,0.4,2.1,0,2.5,39.2,3.2,8.5,3.1,24.5,6.4,95.4,0.8,100,97.7,100,44,44,86,54,19,90,62,24,84,45,15,81,51,13,81,52,15,78,56,22,85,46,13,85,56,20,100,71,43,100,90,43,,,,100,87,33,84,41,11,81.8,33.3,-1,20.4,103.9,59.2,1,3.8,4.3,57,15.8,18.1,135000,81899,65144,57017,16.2,7.2,12.7,28.8,12.3,11.8,14.6,0,6.8,93.2,0,0,0,0,81.4,3.4,3.4,0,11.9,0,812708,1.243,10896955,14263,9152032,21.9,68.2,9.9,1744923,761320,0,11084179,9305436,12180,51.7,12.7,5.9,10,19.7,4814829,6302,42.1,6.5,4.7,0,5.5,0.2,4.8,0,0.4,33.9,500 to 999,Rural,"$753,747 to < $836,417",$1.1800 to under $1.3001
FT HANCOCK ISD,115901,115 HUDSPETH,19,3,375,0.5,96.3,2.1,0,0.3,0,0.8,89.6,61.1,11.2,73.9,24,5.9,93.6,0,94.4,100,100,34,32,72,37,10,70,41,11,68,26,5,86,51,14,75,35,15,-1,-1,-1,72,35,9,64,45,9,,,,-1,-1,-1,,,,63,50,50,71,35,10,100,11.4,898,,83.1,34,3.1,6,3.6,40.9,16.8,29.5,111669,75341,75718,56872,95.2,4.5,11,35.3,11.8,26.4,17.9,2.9,91.2,5.9,0,0,0,0,44.1,9.5,10.4,26.3,7.6,2.1,738250,1.006,7119655,17799,6987145,31.9,41.7,26.4,132510,2795062,0,7236872,7034089,17585,50,11.2,5.5,14,19.3,3518124,8795,27.4,7.5,15.1,2.4,2.5,0.1,3.3,0,0.6,36.8,Under 500,Rural,"$711,268 to < $753,747",Under $1.0600
